artwork,model,histogram
Starry Night,finetuned,[1. 0. 8. 0. 0. 0. 0. 0. 0.]
Starry Night,original,[6. 0. 3. 0. 0. 0. 0. 0. 0.]
Starry Night,finetuned,[2. 0. 6. 0. 1. 0. 0. 0. 0.]
Starry Night,finetuned,[1. 0. 6. 0. 1. 0. 0. 0. 1.]
Starry Night,finetuned,[4. 0. 3. 0. 1. 0. 0. 0. 1.]
Starry Night,finetuned,[2. 0. 7. 0. 0. 0. 0. 0. 0.]
The Scream,finetuned,[2. 0. 3. 0. 1. 0. 0. 0. 3.]
The Scream,finetuned,[2. 0. 3. 0. 1. 0. 0. 0. 3.]
The Scream,finetuned,[6. 0. 2. 0. 0. 0. 0. 0. 1.]
The Scream,finetuned,[5. 0. 3. 0. 0. 0. 0. 0. 1.]
The Scream,finetuned,[1. 0. 6. 0. 0. 0. 0. 0. 2.]
Angel Pena,finetuned,[2. 1. 3. 0. 0. 0. 3. 0. 0.]
Angel Pena,original,[0. 0. 2. 0. 2. 0. 2. 1. 2.]
How to Bake a Cake,finetuned,[3. 1. 1. 0. 1. 0. 1. 0. 2.]
How to Bake a Cake,original,[1. 1. 2. 1. 1. 0. 2. 0. 1.]
How to Bake a Cake,original,[1. 0. 0. 0. 0. 0. 5. 0. 3.]
How to Bake a Cake,finetuned,[1. 0. 0. 0. 0. 0. 1. 0. 7.]
A Guitar,finetuned,[2. 1. 1. 0. 1. 0. 0. 0. 4.]
Putin with Nukes,finetuned,[2. 1. 3. 0. 1. 0. 1. 0. 1.]
Rihanna,finetuned,[3. 0. 6. 0. 0. 0. 0. 0. 0.]
Mona Lisa,finetuned,[10.  0.  4.  0.  0.  0. 35.  1.  0.]
Hamburger,finetuned,[2. 0. 2. 0. 1. 0. 1. 1. 2.]
Starry Night,finetuned,[4. 0. 3. 0. 2. 0. 0. 0. 0.]
Starry Night,finetuned,[2. 0. 5. 0. 1. 0. 0. 0. 1.]
Starry Night,finetuned,[3. 0. 5. 0. 1. 0. 0. 0. 0.]
Starry Night,finetuned,[8. 0. 1. 0. 0. 0. 0. 0. 0.]
Starry Night,finetuned,[2. 0. 6. 0. 1. 0. 0. 0. 0.]
Donald Trump,finetuned,[2. 0. 6. 0. 0. 0. 0. 0. 1.]
Beyonce,finetuned,[6. 0. 3. 0. 0. 0. 0. 0. 0.]
Jesse Davis,finetuned,[3. 0. 2. 1. 1. 0. 2. 0. 0.]
Banana,finetuned,[3. 0. 4. 0. 1. 0. 0. 0. 1.]
Guitar,finetuned,[4. 0. 1. 0. 1. 0. 0. 0. 3.]
A Guitar,original,[0. 0. 3. 0. 2. 0. 0. 0. 4.]
A Guitar,original,[1. 0. 4. 0. 1. 0. 0. 0. 3.]
A Guitar,finetuned,[3. 0. 4. 0. 1. 0. 0. 0. 1.]
Angel,finetuned,[5. 0. 0. 0. 0. 0. 3. 0. 1.]
Angel Gabriel,finetuned,[5. 0. 1. 0. 0. 0. 0. 0. 3.]
Angel Gabriel,finetuned,[6. 0. 1. 0. 0. 0. 0. 0. 2.]
Angel Gabriel,finetuned,[5. 0. 1. 0. 0. 0. 1. 1. 1.]
A Samurai eating a wheel of cheese,finetuned,[3. 0. 2. 0. 1. 0. 0. 0. 3.]
A Samurai eating a wheel of cheese,finetuned,[3. 0. 4. 0. 0. 0. 0. 0. 2.]
